@rowCount	3257
w	d	cache	s	q
ko jundi lo vorme	Watch the door.	ko,jundi,lo,vorme,watc',t'e,door		QNOOQPOMSONNPMNLRPLLNMONKOOQOOONOOQPTOQLQOQONPMKSMISOOOQRKNNRPMPNPQNPNRNSNMLKLRNMKLPOPTONTNNKPMMNRPXOPNKPPPRRMOQPTPLPPSSULNOOJPOPQMLORNONRMKNMRRLQNOOMORPLPLOQOQQPLKMPKILMNPMSQOMOQPPOKMPNPOPRTQONOLRNIMRPNPPMQNSNQSSRKLPPOMSNMOPNQKPMHNQRRNRSQLVONQNPOMNNURLMOMLROOUMIQRRPPORORLOOTMLNPNORQMPORONNMOOOPKMQQNLLKPJOMPORQPOLRPKQOOOQKQPPPNNPNNQPQMMMPQMRRMNMPMRPQONKNPQRNMKMPLOTNMRONPKSPQMMSPOPN
ko jungau mi ca lo nu do volve lo zdani	Let me know when you'll return home.	ko,jungau,mi,ca,lo,nu,do,volve,zdani,djuno,gasnu,let,me,know,w'en,you'll,return,'ome		OKRQRORNKLMNJQRPROMPONKORRSOKMNMQOPRQJPMOPRSQQMPUSQRLQRWPMQMUMJNQJOMPOMQLOOOQNQOPLLQMNOTPMTNPOKKOOMVQOPNPPQTLLMSOPPOOOSKPORLNMOOKMNOONQLRNRROLLPPONOONORPLOMQQQROOIQJMMNSPOQPJROPOLOLNMQNOMLSOQKQKRQLOQPNMPQQLOPRPMSSQPMLPLLTMOOPPONNMQXMQMOTONMPKOSLROPPOQOMNPJOTRPOLLTNNPNQOPSQRTROOOLRNNPKPNQQLNMROONNLQNPMONPPPQSIPRQNNOSLQOQQQMQMNMOLOONMPPOMOJMNSQOOPTMQOQONOKOLNMOKJOKLQNMOKKPLOQMPPQRPKM
ko jungau mi lo du'u mu'i ma do pu nalzvati lo ckule ca lo prulamdei	Tell me why you were absent from school yesterday.	ko,jungau,mi,lo,du'u,mu'i,ma,do,pu,nalzvati,ckule,ca,prulamdei,djuno,gasnu,na'e,zvati,purci,lamji,djedi,tell,me,w'y,you,were,absent,from,sc'ool,yesterday		QSRRVMRPOMQPNOPNPJHLKRJSRWPMNMMLOLQMTNMONOPQPNLLSOPNMPNSNPQOLPORNNNNQSOMMNPOSPVPMLLRPNPPLNROMRNKNPOVOSOPNNNMMMNRONQPRNMONQLNKMMORMPPRJONNMQQMKMSORPTQNOPMSMMQPTOONPMPINKSMRMQPQNPOMRNJMMMOLONQOMNMNNSLQMMRROLJNOSLNLRPRKOPMMPMMORPLMNMQPPRQMQMOPPNMONTMPLOQPLPTNNPOTLRLNNOPROTMPOTMOPOOOONMSMLMMRPNPNKPSMMMTOPLPLOOMLORQSNSPNQOOQQMNRLNPPSOKLMVPPOONMMLRRQOQPRQRMMJMQLNMMNQPPPMOMOLKQOSQMMLMSOLO
ko jungau mi lo nu do djica ma kau	Tell me what you want.	ko,jungau,mi,lo,nu,do,djica,ma,kau,djuno,gasnu,tell,me,w'at,you,want		MQMOMJQRONPHMQPTTQJOLQMNLPMNQISNQNPOLMSQQLNPNMOPPNOMJQRSMTQPONLNTNJOKRPQNPQOQMQRMJLQPMOQPNOMLNNPOLMUPPRPNLKTOQNOKKQNPRTMPOMSJLOOOLORPQNMNQJTKTSOQSOLMSNPQOOLPPOPTKNKNMPRPPMQONOPMNORNMNNOQRQPRPKMNPNMMMPPOPNUONMPQORSNONNPHNQLOONSLRUQPOPTPLPMNSQMNOMULNOORNOSOJLOOMRQMOPKPSOMRRSMUQOONKNPSMPOLPQOQMILRMMPPNQNQNNQPQQPRQNKONOPOOQOQMNQMLQLRPMONPLMQMNQQPNNOOPTOOPPNKKNNOQOPSGPOLNRNNRONNMQNNUPNL
ko ka'argau lo patlu	Cut the potatoes.	ko,ka'argau,lo,patlu,katna,r,gasnu,cut,t'e,potatoes		QOLMOLMLQQRLKMMNMQKMNPNPQRPPONQOOONNNOPOPJNOOPKMSNKOLORNNRQSMNNOOMMLKROPPMMQMPPOMMORLSLNMOOLRPOMOKNVMSKNMOMPLNPRMOQNRNQPMSKROOPOQROKQONQSONJMLRMQOMOLLPRNLPIPONQOQLPQRMOQNOQPPTRNNQQRPPMRNOPPPNRJOLNOMLNSMLQOPNJRRQOPQLKQNKLRMNOORLQRNLMNNLNPMPNTTPMKPTMPOUMMNQILPOTMQPQNKLQMOPQMOOSLPNPQOOMLQORSMNRQRJOQPOJMPPQLMPPQQROMNQPUQPOVNJRRLNSOOLPOTPMRPNOMLNMOMNORYNPPNQNNQPPLONQKOQQORORTRPNRMPRNPQP
ko kalri	Open up.	ko,kalri,open,up		ONQPQNNPQQNLKOTSONLPLNMKKOPQPQROPKUSOMOPPMMPMQONSMLPNOSSJPQNMPNRRNNPOLPROOONOLVPOMKOKSQOPQPTNOPKPPLZQQQOLPNSLLNMNPOQNPRPNPNNJJOOQOMQMNMNKSOSMMQRPTPNSMPOMKOKNOQPNPNONNMIPRMPPQRLOOOMJOHNPTPNRSMMNOPMQQKOONPPPKQQVPMRPNKPMPIPRPMONRONPOPNRMOPWNSOQVIPLONMNPRPOMPMORPRQOQRPONSOPQPLNKPPLQRSPOMPQKQNNOKLNOLPMMLMJMLPOOQQPRPNRMQRRNOOMRNRONPQNOPNQMPMNNONOUPLMNPKPNQOOMQNOLOPMSMIRQLJPNNOOPPOQMRQNRP
ko kancu fe li pa bi'o pa no	Count from one to ten.	ko,kancu,fe,li,pa,bi'o,no,count,from,one,to,ten		OONNMUSQOMPLSQLNMQNKQPROPLLKNONNOSQINPNSQKSLNPKQQQPQKPQLMNMMOOKMMOMNNRQORQNNOMQOLNOMONSSNOLSRPMNQQMRNSNNMPQNQJSMPOPKQQQOQOPPJOROOJQSPMLQLOOMQPPLPOPNLKOONMJTPPRQKOQOTQSKNJPOQPRPMPMQNRNMRPPRRQOPQRRNRONPNKLOUKMPPQOOSSKMPMOKPJIOLPLNQNQQQOOQRKPQMPKPPOLNKSRKOORKQNNOSOMRPLROOQNOIPMSLOMMOQQNIQPOPPNPIOOQNNJNNNMPLKNPPMUPQPQQSLOOONOOSQOONORMLQQLPOPPMPRLMOOSONTOJOMQMNQLLNMTLMNKMMMPPLNOPJMURQPN
ko kanro	Take care of your health.	ko,kanro,take,care,of,your,'ealt'		QROOOPSOOMPQPJPMMOKSKROQLROKOPUOQPKPNOMNOLOQRQKQSPIPORTONLLONMRRONQMMQLKPTSPNKQOTQRSPNQONPNMPNONOLLTNLQPNQLQOOOPPOPPOKPNNLNQMOSOPMSRMONKPKQLOOKOKPNSOMNPNOPLNNOPMKMLLQLJONORRPNKKNOMMOQKQOLPSJLQPNNOPPMNPQMSNKLQPRNQTSOPOLKQTONOPQPORLNNQRQNRNOSQKHQKSQPMSNRSMMQRMMLOONQRLLROOMQLPONOPPNPLLLOQKNMMQOQMKKKLQNOQNPNJOMLJQLNOMTMNLOQMQNPNLSRTNRROQNLPNMLMQQMPPNNPQRQONKRLQLPTOSKORQOMPPTQLSOOLNQNRM
ko kargau lo cukta pe do ja'e lo nu lo pa no moi be lo papri cu lunbe	Open your book to page ten.	ko,kargau,lo,cukta,pe,do,ja'e,nu,pa,no,moi,be,papri,cu,lunbe,kalri,gasnu,open,your,book,to,page,ten		LNMOOUNPNPRUNMMLKRKNORQOMJOLNLSQNORLNPPPQKPPOLLOQRNOKKOPLLKLOQJRMQONJPQNSNNKOKONLLRMLORQNQOPPQKPNNORPRPPPKSPLLRONMOKQOUPNQLOJMNORNNOOPNPLMNNMROQKSOMOMPOQQJPMPRPMKOPSORLKJONPPPOPOLPOPPKOSRSSPONNRPPOKLMOMORRLMNSOONOMPMPMPOQPLOOLMRNPQQPPLQTNPNPRJPLRNKRPUNLPOKLPLRRMNQQMNMMQPOMOPPSJLRRPOOKRMROLNOOPIRQNORRONNPOLOSORNPNORQQMOLNVPRPUONTSMOOPLRMOONSUOORORNPSQJPOQQQNOPOORMOQOONOPRMMNSNLTQSLM
ko kargau lo do moklu gi'e ganlygau loi do kanla	Open your mouth and close your eyes.	ko,kargau,lo,do,moklu,gi'e,ganlygau,loi,kanla,kalri,gasnu,ganlo,open,your,mout',and,close,eyes		RJMNPNQPQPPIMMOQMRNOSNMMLUPMPNPMNNNSPQPPONNOQOMQSLJLONNNMNPOONOPLNRPNPNOKMNORIRSNMPPNSPNMRLMMONNMNOWRMPOMOPROMOMNNLPNQOOOOMQOLMOOMQSIPOPLRRLLOONJSNLRLQQONPKNONRPMNPPRPIOPKOPROQQMRNOOMLOONOPPMQOPMNQMMNTMKKSSQOVPMPPLMQSPHMRKLOOOPPLOPOQOSQTPRMUTISJOQNPNSNMMRKMPLRONOOPONPNPONLPMONLNORPOKPNHQOONQOOLPPOQNPMMNPOOQNRQLOPFPQPROMJVMOQLPMORQOPRNORPMMPTRQORQKRSRMMOQOSPOMQPSISUMLROOOQMKNOMQPPNM
ko kargau lo moklu gi'e ga'orgau lo kanla	Open your mouth and close your eyes.	ko,kargau,lo,moklu,gi'e,ga'orgau,kanla,kalri,gasnu,ganlo,r,open,your,mout',and,close,eyes		RJMNPNQPQPPIMMOQMRNOSNMMLUPMPNPMNNNSPQPPONNOQOMQSLJLONNNMNPOONOPLNRPNPNOKMNORIRSNMPPNSPNMRLMMONNMNOWRMPOMOPROMOMNNLPNQOOOOMQOLMOOMQSIPOPLRRLLOONJSNLRLQQONPKNONRPMNPPRPIOPKOPROQQMRNOOMLOONOPPMQOPMNQMMNTMKKSSQOVPMPPLMQSPHMRKLOOOPPLOPOQOSQTPRMUTISJOQNPNSNMMRKMPLRONOOPONPNPONLPMONLNORPOKPNHQOONQOOLPPOQNPMMNPOOQNRQLOPFPQPROMJVMOQLPMORQOPRNORPMMPTRQORQKRSRMMOQOSPOMQPSISUMLROOOQMKNOMQPPNM
ko kargau ti	Open that thing!	ko,kargau,ti,kalri,gasnu,open,t'at,t'ing		NNONONPOORMOMOQPMOPPQQMLLROPQMTQNQQRNMROPPQQMQOKTPNPQOOPOLOPMQMROLNRNLSQMSONPKRRNLNQORRNMLMOKQMLNMLVOTPOMMOROMNLPOOOLPSOPONOLLNOOOOLOPMPJSMOJQQQMNNLPOQQPQSKORPPLPLJLNMMOOMONOSONOQLONKMQOPNOQOHPNMMORNPPKLSTPOLTNOPONLOOQMMPQLOOLOOQNONKORNUMTSPTNRLQOOOQTJNOMNNNQOSJQPORMTNOPOMNLLQLRRSNQOQRLUPMPLONQOQLONSKPQQOQPTNSQLPLSQPOOMNTOOMLNNNPTLTOPMMNMROTMNMNSOOQPJSIPKVONPNLPGPQJLSMONPPNTNKRQPPS
ko klacpe lo pulji tcana	Call the police!	ko,klacpe,lo,pulji,tcana,klama,cpedu,call,t'e,police		SQNOPNOOPNOKPOMKNOMOOPRNMTPOPOQOMOQMPNQPOLOPLSLLUNNOPNKLSPQNNQNPKSNPYRWPOPOQOISPPLPOPSOQONJQRQMOKOJULNONSOQPMNPOOQQOQOLONPNRKMPONPPNQQOQQNNOOKNQROMPQOOTLNNPPPPQQPMPQRILMNNOMRPNPNOPPQLPOLSPSQLQPFPLOOQQRMLOLNMOPLQOQPIPOTLNNMQOOONLRKLRPOMNQPSPRQKNLOSPOOSPNPQMPQKMNNMNOTRPKOOPMNOOSPLOPKONQTKSPLMIPRRRMNNLLQPLRNQRMOSNNMOPNSPOMJRNSOMONMLNNOPLPKLPGOPQNKNMQQKONPKMMPPMMOOPNPPKONNMRTMPPPMQPHPR
ko klama ca lo cerni pa moi'o	Come tomorrow morning.	ko,klama,ca,lo,cerni,pa,moi'o,come,tomorrow,morning		MQPNOMOSOPLNNSOQPMHPMPLPMOROQPORIORPTOQPPLNSQQPNSPKNNKPURNQRNMORPPORNPMONMNQPNRNLNPMKPOUNNOMKPKNLLOVQTKMQKQQNKNPOMQPRSONRNPNPNLOQNOOQMPLNLPKMOKSRLNOPPROMMOLMPNOOQRPLNNJSMLMROPOPNMOONMLMPNQMSOLMMPLQPROOOPPQMQNRROMVSQQQOJNRRMOSOJPPMOQNRQPSMSKVOPPKQLPOOUQLKPMOSPRTOQSMONQKQOONSNQNOPLPMNPLNNLQLKQQROMLNPOPPNNLRRQOKUOQMMQNQOONPPRPMKMNRSMQQPOLMOKMKPLTOLSNRMSJLNKPPPMMNPQLLPMLNLMRQPNOLQQPQRM
ko klama ca ro nu do djica	Come whenever you want to.	ko,klama,ca,ro,nu,do,djica,come,w'enever,you,want,to		NONPOMPOQMNJNRRQRLLPMNNNMLROSPMOKSPQROPQPKNQPQQNRPLPQOSTPNORLQKPOPPRRRLSLPOOPNQONPMOKNRSPNPQKQIMLNPUPMMQMLORPONNQLKONRQORMOOOJPOPNOMPMRLLJOMMNONSMOOLKNSPLONPRRNHQQNNPMMPNLQRPPNOKOQRPNKONOQNQPMMNQPPNNQLNNNSPOQQRMQWQOLSPMMSOJOSNPPPPMQPRRNSLSMTNNRMQONMLVSMOQNMQOPTQQTNKLQLRQRPRPRPMNLPMMPINLOSMNOPPMMJONNONNMMPRPPJTPOLOOPPPOPPSNSPMKNOQNPRQQPLNJLLRQPNMPPOOQJNOLLMPJNRQRIPRLNQMMNNPPNKSORTQK
ko klama gi'e cusku zo co'o ra pu lo nu cliva	Go say goodbye to them before they leave.	ko,klama,gi'e,cusku,zo,co'o,ra,pu,lo,nu,cliva,go,say,goodbye,to,t'em,before,t'ey,leave		QQQNQMRJSLNMMMMQMPJOMMLQOUNNQUQOKPNRNLSOQRROMOMLURSMKORQSJPQMPPLMTPPPTKONQKQMNPNPNKNNPNMROOQQOMJLTNTONNNNQQPQNMQMOOPPRPNNPNQLNNOPPPPPNLPQNOMNFOMPNQPROPUMNNMOPOPROKOORMNOPKOSNSNNLOONNMLLOOLSOLOSNOPQNQQLPLOPMROTNHMPPOIMQJSRJNORRLMMMNROROLSRPMVKMNMPOPPNSNKJPMQROPLOLRMLOMMQQNNQSPOOMLPPQLPNSRNOMQNNOQMMOMMKNNQSOPPNQQNOOMUMLOPKQMKMOQNQSONQOSSIPPIMOQNOOLRQOONQPNONQPLRKPONUMJOPMMRNNOQLPOPPN
ko klama gi'e penmi mi ca lo nicte	Come and see me tonight.	ko,klama,gi'e,penmi,mi,ca,lo,nicte,le,come,and,see,me,tonig't		MMQOSOQROPLHPPPQTOLOOQLMLORRPMPQKPPQRJQPOMOQSNOOQOLNOPPRMNPQPNPPNPLQOQORLMLNNLQOQNMMLPQPMOLPINMKONRTQROLNLRSPPONKPRPRQTNUNQQPLLOPMONTNPNJLPKPOPQTKLNLOQQMNOKQPOPKRQOKOMKONMONQRQMOLQQOOMMPOQMRQNLMOMRPOOMNRORNPNSRNNVRNNNNKNTMKORPPMOKOPRRPLOPUMTOOOLQNLLPWPJNRLNQPRTPPPMMNRPQNOKTNOMOLKRNPMLOLPRKLPQPLLJORNPNNNPOPNRLSOOLNPPMLONQMOQQLLNORLSOQPKJNKNNPRRONSMOOUMNQHNMQNMPPRKMTNLPLMQQQPPONPTPRK
ko klama ka'ai mi	Come with me.	ko,klama,ka'ai,mi,come,wit',me		KRNPPNTRRONJPPOQSMJNHQNKKMPOPPPPOOQOQHRSMNNTPPOPOSNQOQPQNMPPLPNQNRQSNPORMQPNQNSPQOLMOPUQLOLPJOONPOPUQQNMNMOOQROOKTPNQPSMRMNSMLNOORQPQQPLLONLLPMQTLMMJPSRJMONPPOOMSQMKMNLOMMPORRNNMMOMOPLOOQOMRNTOMRMQONLMPNNQNPMNPQOURMMQMKORMNOOONPPNQNRPOLQMVQTNNNPOOJMORMMQRMOPPPQRQPONOSPONQPRMPOPKKRMOLJPOMSLOONTIPMQOLMNMMOQPPPJSRNJQPTLPOOPQNSOLONRONQPNSINOMLMSPONOUPOOQLKOKLONLNSNQIOOJMTNPRPPSQOQPRNRL
ko klama ka'ai mi	You're coming with me.	ko,klama,ka'ai,mi,you're,coming,wit',me		LNQOQMRPPMOHNOMRVKJPIROLLNQOOPOPLOPOOKSRMLQSQQMOLRMQPRRRQMOOLMKNJQRTMQPQNRONQOSPUMLKLPSPKOMPMONNNMOSSPOLONMOQPONMSMPPRVPSNLPNKOOPQQRPPPLNOKOLRNPRLMOKPQQLNOOROOOMQPKHMMLMNMQNRPNMLONNQMNMPNPNQKQNMSOPQMMQPNOPQQMOQOPSRNOPMLOSOLOPQOMNNQNPPNNRNVPUMNOLPNKPOSPMQPLLNRNORNQNMOQOOLUQTOOOQMNSMNNHOQLSLOPOQJPMPOLOLPOMQPNOJTROIQPRPOOPQPMRRNPMQOOSPMQKMNMMNQOOQQTNNQRNJPNKOPLNQOSJNROLSMNPNSROPPQSNPL
ko klama lo zarci	Go to the store!	ko,klama,lo,zarci,le,go,to,t'e,store		NNRQNQPROOQKOORKOSNLONNQIQKNNPPQLPQLPLRROPKNNNPQVTQOQMMQNKQPOMMQKOQRPKMPOPOOQJRSLKQQORRNMNLPIPMNNQOVROTNNKLTRMLOPPMQROPNPPRQJNROMRONNRQNPOJKKPPSMLOOONNQONOORPOQQNLMLQOKQPPOQPSQSQMQPQLJOMRNOQOOMMMLMQQRVNOPMPMKROPUTNKQTONNQNOOSKNOPQMQNMMOQPUTQTOPMONOLOUMJOKJMPMKNNSQNLPPMPPNPQMONLJPQMLOKRMPROOKOTMRQMOMPPNOOPPOQSPPMMIRMQSOPMSQSPNMQMLMLQNOQRMQLNQQOOQQPORPOMNKLPOMLJNPNPPNNSQKQNMLOLNQQLPP
ko klama lo crane be lo kulku'a	Come to the front of the classroom.	ko,klama,lo,crane,be,kulku'a,le,ckule,kumfa,come,to,t'e,front,of,classroom		RQNPPONPRPPPMMROQRNQPPQQNQQMQMOMPOOSRPQONOORQMRMTKNJLPLQNNPPLNLPMLQRPTPQSOOMNNSMPMRPPPQQLLMQLQMMKMSTOOPRMLOONMPKPOOLRLOLQOQOOGOOTSQRPPSOPTTMOOPOLOKNNLQRNROLQQRNLLQMOPQMPNQRRSQPPQJLOKMLRRMOOSLUMLLNSLNPLQMMOJOKQMNOPPOKPTNLQQLOSSKNNQRPORPPPQRLTPMNKOMONMRPLONKQPIPPQLRPJMMOOMPPRLNQIPPSMNRNNQPQNJTPPOUOKMRNNMMOLNNNNUPNLOSSLOOMLSNQRNONPNPQNTQNLLMNMQQOMPQNQQPKMLPOQROLLPQLTOMPOMJMMOQMNJSQTMR
ko klama lo nenri .i lo djacu cu banli	Come on in. The water's great.	ko,klama,lo,nenri,.i,djacu,cu,banli,i,come,on,in,t'e,water's,great		MMONQMROONMMOQMQQNLLNPNMIOQRNQLRNLPTPLSNQMQQNPPMOQLMOPLPMJNMOPMSOOLUMPMTRPKKPNQSQKPOMNRMNMJNKOMPONNQPPNLRMPTTMLNPUPPPORORMLQMLPOOPROPNOLLPMPLQPLRJLNONNPOLOOOQQMLSRNLPOPPOOQOPSQRKNPORLMPQMQLTOKPORPQNJNONOORNOSRSPTRPNKRQMOWIMORMSRSMNOMNPOPOQMQSRNQQSQNQSOLPLNLQMRRMMRPJPPMPPQJQLMNNPMSMLOKQNQQNKRPPJJLPQLMOKRPTLPTMOOOOPPKPSOOQTPPQLQNOLOPQPRLMLPLNORMNNNPPRQMPPKMOPKJRPPMQPQNRONRRTPNKKQOPQO
ko klama lo nenri .i lo djacu cu jai pluka	Come on in. The water's nice.	ko,klama,lo,nenri,.i,djacu,cu,jai,pluka,i,come,on,in,t'e,water's,nice		KNONPMSOONMLPQOQQNLMLQNNJPSSOQLSNLPRPLRMQMQRMPOMOPLMNQMQNKOMMONSNOLSOPNTQOJKQMRSPKPPMOSMOMJOJOKPNPNRQPNNSNPSSLLNOTPPPOSNRKLRMLOONORPPNOMKONPLPOLRKJNONNQOLNNOPSMNSRMNPNPONOQPOSQQKOPQSMLQPMPJSPJPNQQRMIPMONPRLORSROTPQNJRROOVKNORNRPSONRMOOPQNQNQSRORRRRMQROLPLMLONQRNOSPIPQMPOQKPNMOORKRMMNKRMPONJRQOKJMPRJNNLRNTMOTKQMONOPNRQOOQSPPQLPNONOQPOSLMLOMNOSNNNNPPQQMQOMMNNJJPOPMQPQMRPMQRSPMKLQNRQO
ko klama lo zarci	Go to the market!	ko,klama,lo,zarci,go,to,t'e,market		QKPQOQRQLMNLOORKPQOMLMNNNROOMOOTKPTONMRRPMKONMQPWRJONNKNJLQNPOMSPOOSOLROMONPQJTRMKMQKPQQONOOHSOPLPOURLOOKNMTQOKPNQNPPMPRQPOOLMPOLSOPKSPOMPNMJPOQOLQOLLORONNLVQPRNOLOHNONORKMQRSPSNLPNPLLNMMOOQMPMRNQMQSPRQNPMQQOQOMSUPMNSONONPOOPNOOQOMPSRMPQPPPRQOMLRPPNPPPNOMNNOKOPLPTQKQOLOQOTONSPNJNSOKPNUNPSOOJMPPRQMLLPPRLNPOQSRNKMMJQQOOONMUQOPMORMMNKSOOQRMQMQRROOSOPQNOONNKMPOMKKMOOQOLOPQKQLLPMOLROHOR
ko klama te zu'e lo nu mi'o pinxe lo tcati	Come and have tea with me.	ko,klama,te,zu'e,lo,nu,mi'o,pinxe,tcati,come,and,'ave,tea,wit',me		MOPOQPVONPLIPQPRPMMOHQPLPRSPPPROLPLORKSOOMORQSPOPPJQNRRNNNOQLMNRNRLUORKPMQKMQOOQNQLSLOTPNMORJRNNQNOSOQMOMNLOQMPOLQOOPPONOMNPOKNONORSSPOKKNOKKMLQRMNOLNQRJMRORPRNJQLLJOPPPOMRMMQONPNNNPOKMSSPMONNPKPMPOONMPPNTNSOORPPROKLQNJNPMMOQMOPNNSNSSPOQSSNTQNSOQOLNPQNLOTMLOPMRNOQNNMQRMMRNUQPNMNJOKONKOONQPLPQRKKLOPOMOOOMSQNRKSQOMQPPPQOLOQQSNKNPPQOPPPUMLMMMNRRQOQQONPQKNMHMOPKKNOQJPMOLQQNTQPTPOOMRQQJ
ko klasti .i xunre sinxa	Stop. There's a red light.	ko,klasti,.i,xunre,sinxa,klama,sisti,i,stop,t'ere's,a,red,lig't		PMOQOMRLSNPMLNKRONMMSQOOIONNKOPMNNPPOQRPPKRPRQLNSOOPMPSQRNQLNSKOKRNLQPSORQOLQOQRPIRRSQQOKOHQPRMMLNNSRPOOPKMVOLSOLNMQQRNORPLPSIOOMPPNNRLROMQQMLQKSPMNMJQQNONNQPLPSRMNOPMLJRIRSOROORONQQLPNUONQPORMMNPMPOPRLKMPQNNOKONRNMPLOORQMMOOOLMQKQQLRUPOSPNRUMQJOOOMPOPKOONKOPPPLNSROPMMMQPLMMNQOJNNSONQPLSTNLRQSQPLPMMNONMOMPTQONMKMOORQOOPMQLRRNRKNPPRRPONMOPLOKOOQPRPNSPNOLLORRLLSLQLOQKNRPNOPPJOOJPROOR
ko ko'a fitytu'i gi'o nai fesli'a	Take it, or leave it.	ko,ko'a,fitytu'i,gi'o,nai,fesli'a,friti,tugni,festi,cliva,take,it,or,leave		PUOOTNRNRNMNMPMPMPNPNOKQQTQPNMSQPPMQMOSOONOOOQMMRROMJQPSRMOPKQPRRRPMPTLPMPPLQLQPOPONOPONQKNPROPPHPLTOPKNOMQLNOORMSQPNQPMOLORILQOKOQPPPPPNLQKOLQNPKPMRNMTKOPMNQMMJNOMOQPLNQLQSNSNLOOLSLILQLSMQNPTTQJNOPMNMNNOOORNQPOQTNOJOSJNNNROQQNQOOSPPTMLOLVPPKHPKQRQJOUOMNLMOOOPPOLSNMMQMOQNOTRPNOOOOOOKOQNOPMNOPOMNOMPOPNNNLMQNRKQMLLPORMOONNUMPNMNORSROSKPOKMNJNPLQMQQOLPSKRMLQRRNNSLQKNQNPQPLPTRNPPIQPMPM
ko ko'a jundi	Listen to her!	ko,ko'a,jundi,listen,to,'er	👍👍	OLPLNPROMMKLPMOSRSMMKQORKROMMPNQKSPROPRQOPQNLNNMNJKPNOOONNSNOPMPPPPPOTPUPRQQSKSQOLOPQMMKONKPNQQQMMNTPVMPOMOSNLRMKPQQUPNMOONPNKNOMOPOQSPMOOMOKMPQKQMPROOPOMRPOQKPQPOJPRNMPOPIKSQNRNMONQMNPMUNPQPOPONJRMORPPLPPLQKROKTSMKPOOMRRKLOQRQMOOJONNRJOMQMQLNLKPRPMOXOPNOPMKONPMMPQOPNORSQOLLLSPPNSQOLMPMPOOOKOQLSKRONMLQMNQPMURPOPMOPMMOONPQOPOMMNPPNNTRNRRLOOOQLOLSPPQOSKOKJPMLSMMNNKNTKQOPOTOPQSMLTOOQP
ko krici do'e lo nu prami	Believe in love!	ko,krici,do'e,lo,nu,prami,believe,in,love		LPQONRPOWPPNRPOPJQIMKJJOLTNMMOTTONQQOOROOLQPMOOPSOJRNNMPOMRLSTPPQQOQLNSTKQOQOJRQRNOPOONONQMMISLMMQNULOLSPONOPNNNNRQPSOQNOQQRMGROKMRPMPOPLMNPNOOPJKPQNJOPMPTOOPMPOOJMLKONQOJMNSPOQLNOOMNMSPOPOLONPNQLMONPKOLNRNNNPNLPUOMNKRPOSKPOPPRPQMNLRQRLSPNIPNPQQOMRNOSNNOMRLKLNROOOQPOPNQTNONLNPNQMTQOOOSPTRNNPLRONOSNJMNROLSQPNONOQNLRNQPONLPLNPOLMOQNLRQLNNPPPQMONNPOMPPOMPOMNOQMOSPLHSQPNMOPSSLPRSNOVLQP
ko krici do'e lo saske	Believe in science!	ko,krici,do'e,lo,saske,believe,in,science		OPQQONMPQSPLORKNJRJMLMOPLTMNNMRVMMRRQMROOLRPNONLRPJPONMNOJQKSQJPTQNPNPTUNTQPQOTPQKNQPNPOKPNMJRLRNMPSLPKTQKNOSONOLURQSONLOPOQPJPOMMTQOQNNOLNRMONSLMNNLKONMPSOOPPPNPLMMMNMRPMLQRSNPOOPRNONQNNPMQQNOOLNNOMNLOKNOLNPPLMMRPLNNNNNTKLONPPRRNLLOQRPPMNJOQOPPQKRMRSMNQLPNJLPSOQOPSOONPTPONNNNLRMQOPPPPQTPLNTLOVRNPMLNOQPJPQPPPOKPNLONRPOQLUNQQMPLNOOMSTNMMMPMRNQPMQRORNMMOLJOOOLLRNPJQONMRQOSOOQOQJQUMPQ
ko krici fi mi	Believe me.	ko,krici,fi,mi,believe,me	👍👍	LRPPPLQSOOMMPQOQMQIJINMNLQPPMLOSOMSNOJRPOJRRPQNRRNKSPKNMMOSNQSNPOQNNLLRPIQLPQOSOPPOMPPPOLPOOLPOPLQPYMOPOSNOPOPPMKRPQSOOKNVQSNJLOONPNTRLPMPPNLNRRONMOONRNJPRPQONOOQMNMNNPMNLQMQQOLOPTMMMOQQRSONNOINPJOPQOOMPNONNMPNORUQMNNOKOSKMOLQMTMNPSPTROOPPLONLMONLPOOSLQQQPKKMRMRSNPOLPOOTPOOJRLPMOPMQMQPPNQKLONPSRQOQPLPRNLMTQQNNOMQMROMOOONOPNOOMNMUNMNOOLKOONPPNOPPSMRLPMNNMPPMMMNNPKPMMQOKQPVQRPOMNWLOP
ko kufra	Make yourself comfortable.	ko,kufra,make,yourself,comfortable	👍👍	RPNSPNTPMMOLRNPMRRNSIRSMKLPNPMNLSMLPOMPRONRPRNPNPOPQOKPRKQLOSNORQRPQPQLMLNPOOMRQORQQLMQOLQNMJQORJSNTPRMSKPNONPLLMOPMRRSNLNRLMLOOPONOMPOMMSQNKMPOLRNONNNMOQSKOPMQLKROPRPMOPNQOTQOJOJOPMIJNNNLOQKMKPPLOOMRNPPKPMKLPRMRULLRPPPNTNIOTQOMMNOOOQNNUORMPRLOROOOOPNMLOOPOMNPLQORPONNQONNLQMSMKROLPNNMPQOQSKOPQJONROJPMPRMORMMQQQJNMQOPPOKKQSOPKMNNOLTROQNRJOONMRRNQPMSPPMMNNRNTPMPRUNOUONPSMQRNPMTRRLROO
