@rowCount	5743
w	d	n	t
war	[object Object]	(rhetorical: campaign against something)	n
warbler	[object Object]	(bird of the Sylviidae family)	n
war crime	[object Object]	(offense for violations of the law of war)	n
ward	[object Object]	(action of a watchman)	n
wardrobe	[object Object]	(cabinet in which clothes may be stored)	n
wardrobe malfunction	[object Object]	((euphemism) an accidental instance of indecent exposure)	n
warehouse	[object Object]	(A place for storing large amounts of products)	n
warfare	[object Object]		n
warhead	[object Object]	(part of a missile, projectile, torpedo, rocket, or other munition)	n
warlike	beligerante	(belligerent)	adj
warlock	[object Object]	(male magic-user)	n
warm	aquecer, esquentar	(to make or keep warm)	v
warmth	[object Object]	(moderate heat; sensation of being warm)	n
warm the cockles of someone's heart	aquecer o coração	(to provide happiness to someone)	v
warm up	reaquecer	(to reheat food)	v
warn	avisar, alertar, advertir	(to make someone aware of impending danger)	v
warning	[object Object]	(something spoken or written that is intended to warn)	n
warrant	justify	(to justify)	v
warranty	[object Object]	(legal: engagement or undertaking that a certain fact is as promised)	n
warrior	[object Object]	(person actively engaged in battle, conflict or warfare)	n
Warsaw	[object Object]	(Capital city of Poland)	prop
warship	[object Object]	(type of watercraft)	n
Warsovian	{Varsovian}		n
wart	[object Object]	(type of growth occurring on the skin)	n
warthog	[object Object]	(a species of wild pig)	n
wary	cauteloso, cuidadoso	(characterized by caution; guarded; careful)	adj
wasabi	wasabi	(green Japanese condiment)	n
wash	lavar	(to clean with water)	v
washable	lavável	(capable of being washed without being damaged)	adj
washbasin	lavabo	(sink)	n
washcloth	[object Object]	(cloth used to wash)	n
washer	[object Object]	(something that washes)	n
washing machine	[object Object]	(machine that washes clothes)	n
Washington	[object Object]	(Washington)	prop
wash one's hands of	redimir-se de	(absolve oneself of responsibility)	v
washroom	{toilet}		n
wash up	do the dishes	(clean utensils, dishes, etc.)	v
wasp	vespa	(insect)	n
waste	definhar	(to weaken)	v
waste away	definhar	(lose energy)	v
wastebasket	{wastepaper basket}		n
waste breath	gastar saliva	(to speak futilely)	v
wasteland	[object Object]	(region with no remaining resources; desert)	n
waste time	perder tempo	(to allow time to elapse in an unproductive manner)	v
watch	assistir, observar	(to observe)	v
watchdog	[object Object]	(person)	n
watchlist	[object Object]	(list for special attention)	n
watchmaker	[object Object]	(person who repairs watches)	n
watchman	[object Object]	(guard)	n
watch out	ter cuidado, tomar cuidado	(to use caution)	v
watch over	cuidar de	(to guard and protect)	v
watchtower	[object Object]	(observation tower)	n
water	dar água a	(to provide (animals) with water)	v
waterbody	body of water	(significant accumulation of water)	n
water buffalo	búfalo-asiático	(large ungulate)	n
water clock	clepsidra	(device for measuring time)	n
water closet	[object Object]	(room containing a (flush) toilet)	n
watercolor	watercolour	(a painting technique)	n
watercolour	[object Object]	(pigment)	n
watercress	[object Object]	(Nasturtium officinale)	n
water cycle	[object Object]		n
water diviner	dowser	(water diviner)	n
water dog	[object Object]	(water dog)	n
waterfall	[object Object]	(waterfall-like outpouring)	n
waterfowl	[object Object]	(birds that spend most of their non-flying time on water)	n
watering can	[object Object]	(utensil for watering plants)	n
watering pot	{watering can}		n
water lily	[object Object]	(Any members of Nymphaeaceae)	n
watermark	[object Object]	(translucent design impressed on paper)	n
watermelon	[object Object]	(plant)	n
watermill	[object Object]	(mill powered by water)	n
water park	{aquapark}		n
water pollution	[object Object]	(water pollution)	n
water polo	pólo aquático	(a water sport)	n
waterproof	à prova d’água	(unaffected by water)	adj
watershed	{drainage basin}		n
water skiing	[object Object]	(water sport)	n
water slide	tobogã	(a recreational slide with water flowing down it)	n
watertight	impermeável	(So tightly made that water cannot enter or escape)	adj
water vapor	[object Object]	(water in a gaseous state)	n
watery	aquoso	(wet, soggy or soaked with water)	adj
watt	[object Object]	(derived unit of power)	n
wattmeter	[object Object]	(device for measuring electric power)	n
waulk	{full}		v
wave	acenar	(to wave one’s hand)	v
wavefunction	[object Object]	(notion in quantum mechanics)	n
wavelength	[object Object]	(the length of a single cycle of a wave)	n
waver	vacilar	(to be indecisive between choices; to feel or show doubt or indecision; to vacillate)	v
wax	tornar-se	(to assume specified characteristic)	v
waxbill	[object Object]	(bird)	n
wax gourd	winter melon	(vine)	n
waxlike	{waxy}		adj
way	[object Object]	(wide path)	n
wayfarer	viajante	(traveller)	n
Way of the Cross	[object Object]	(series of images)	n
way out	{solution}		n
we	nós, a gente [informal]	(the speakers, or the speaker(s) and other person(s) not being addressed (exclusive we: he or she or they and I))	pron
weak	fraco, débil, frouxo	(lacking in force or ability)	adj
weaken	enfraquecer	(to make weaker)	v
weakness	[object Object]	(special fondness)	n
weak nuclear interaction	[object Object]	(fundamental interaction)	n
wealth	[object Object]	(riches; valuable material possessions)	n
wealthy	rico	(rich)	adj
wean	desmamar	(to cease giving milk)	v
weaning	[object Object]	(process of a child or animal ceasing to be dependant on the mother for nourishment)	n
weapon	[object Object]	(instrument of attack or defense in combat)	n
weapon of mass destruction	[object Object]	(weapon designed to kill or injure many civilians)	n
weaponry	[object Object]	(weapons collectively)	n
wear	vestir, trajar, usar	(to have on (clothes))	v
wear down	gastar	(to cause physical or mental fatigue)	v
wear rose-colored glasses	ver o lado bom das coisas	(to be excessively optimistic)	v
wear the pants	{wear the trousers}		v
wear the trousers	mandar na casa	(to be the dominant partner)	v
wear thin	gastar, desgastar	(to lessen or weaken over time, as from overuse)	v
weary	cansado	(feeling of being mentally fatigued)	adj
weasel	[object Object]	(least weasel, Mustela nivalis)	n
weather	[object Object]	(state of the atmosphere)	n
weather balloon	[object Object]	(meteorological balloon)	n
weather forecast	[object Object]	(prediction of future weather)	n
weathering	[object Object]	(breaking down of rocks)	n
weatherize	weatherproof	(to protect against weather)	v
weatherperson	{weatherman}		n
weather vane	[object Object]	(a device showing the direction of the wind)	n
weave	tecer	(to spin a cocoon or a web)	v
weaver	[object Object]	(one who weaves)	n
web	[object Object]	(the World Wide Web (also spelled Web))	n
web browser	[object Object]	(a computer program used to navigate the World Wide Web)	n
webcam	[object Object]	(video camera viewed over a network)	n
web conference	[object Object]	(meeting, presentation or communication conducted via the World Wide Web)	n
weber	[object Object]	(derived unit of magnetic flux)	n
weblog	{blog}		n
web page	[object Object]	(a single page in a website)	n
web site	[object Object]	(a collection of pages on the World Wide Web)	n
wed	casar com	(transitive: to take as one's spouse)	v
wedding	[object Object]	(marriage ceremony)	n
wedding cake	[object Object]	(cake used as part of a wedding ceremony)	n
wedding dress	[object Object]	(the clothing worn by a bride during a wedding ceremony)	n
wedding gown	{wedding dress}		n
wedding ring	[object Object]	(a ring symbolizing marriage)	n
wedge	socar, atochar, enfiar	(to force into a narrow gap)	v
wedge-tailed eagle	{eaglehawk}		n
wedgy	wedgelike	(shaped like a wedge)	adj
Wednesday	[object Object]	(day of the week)	n
wee	pequeno	(small, little)	adj
weed	capinar	(remove weeds from)	v
weed eater	{string trimmer}		n
weedhead	[object Object]	(a person who smokes cannabis regularly)	n
week	[object Object]	(period of seven days)	n
weekday	[object Object]	(weekday)	n
weekend	final de semana, fim de semana	(break in the working week)	n
weekly	[object Object]	(publication that is published once a week)	n
weep	chorar	(to cry, shed tears)	v
weeping willow	[object Object]	(tree)	n
wee-wee	fazer xixi	(to urinate)	v
weigh	pesar	(to weigh out)	v
weighing	pesagem	(Weighing)	adj
weight	ponderar	(in mathematics)	v
weighted average	weighted mean	(arithmetic mean of values biased according to agreed weightings)	n
weightlifting	[object Object]	(sport in which competitors lift heavy weights)	n
Weimar Republic	[object Object]	(Germany between 1919 and 1933)	prop
weird	estranho	(having an unusually strange character or behaviour)	adj
welcome	aceitar	(to accept willingly)	v
welcoming	acolhedor	(hospitable)	adj
weld	soldar	(to join materials (especially metals) by applying heat)	v
welder	soldador	(one who welds)	n
welfare	[object Object]	(health, safety, well-being, happiness and prosperity)	n
welkin	{sky}		n
well	verter	(to issue forth)	v
well-being	[object Object]	(state of health, happiness and/or prosperity)	n
well done	parabéns	(exclamation of praise)	interj
Wellington	[object Object]	(capital of New Zealand)	prop
Wellington boot	Wellington boots	(Wellington boot)	n
well-meaning	bem-intencionado	(with good intentions)	adj
welly	{Wellington boot}		n
Welsh	[object Object]	(language)	prop
Welshman	[object Object]	(native or inhabitant of Wales)	n
weltanschauung	{worldview}		n
Wenceslas	Wenceslaus	(male given name)	prop
wench	[object Object]	(a young woman)	n
Wendish	{Sorbian}		prop
werewolf	[object Object]	(wolflike human)	n
west	[object Object]	(compass point)	n
West	[object Object]	(Western world)	prop
West Bank	[object Object]	(territory)	prop
West Bengal	[object Object]	(state)	prop
western	[object Object]	(film or other dramatic work)	n
Western	western	(work of a genre dealing with Old West)	n
westerner	[object Object]	(inhabitant of Europe and North America)	n
Western Europe	[object Object]	(Western Europe)	prop
westernization	[object Object]	(assimilation of the western culture)	n
western osprey	osprey	(Pandion haliaetus)	n
Western Sahara	[object Object]	(a territory in northern Africa)	prop
West Frisian	[object Object]	(language spoken in Friesland)	prop
West Germany	[object Object]	(former European country)	prop
West Indies	[object Object]	(islands of the Caribbean sea)	prop
Westphalia	[object Object]	(former province of Germany)	prop
West Punjab	[object Object]	(province in Pakistan)	prop
West Virginia	[object Object]	(state of the United States of America)	prop
wet	molhar	(urinate accidentally in or on)	v
wether	[object Object]	(castrated ram)	n
wet nurse	[object Object]	(woman hired to suckle another woman's child)	n
wet oneself	[object Object]	(lose control of one's bladder)	v
wet one's whistle	molhar a garganta	(to have drink)	v
wet season	{rainy season}		n
wetting	molhada	(act of making something wet)	n
wet t-shirt competition	wet t-shirt contest	(event)	n
whale	[object Object]	(large sea mammal)	n
whalelore	cetologia	(study of cetaceans)	n
whaler	[object Object]	(vessel for hunting whales)	n
whaling	{whale watching}		n
wham, bam, thank you ma'am	{hit it and quit it}		interj
wharf	[object Object]	(man-made landing place)	n
what	o que	(that which; those that; the thing that)	pron
what about	e...?	(used to repeat a question)	adv
what a lovely day	que dia maravilhoso	(what a lovely day)	phrase
what a pity	que pena	(used to express regret)	phrase
what are you doing	o que você está fazendo?, o que estás a fazer?	(what are you doing)	phrase
what does XX mean	o que significa XX?, o que XX quer dizer?	(what does XX mean?)	phrase
whatever	qualquer coisa	(anything)	pron
whatever it takes	custe o que custar	(anything required to achieve an objective)	n
what for	para quê?	(For what reason; why)	adv
what goes around comes around	quem semeia ventos colhe tempestades, aqui se faz, aqui se paga, você colhe o que planta, o mundo dá voltas, tudo o que vai volta, tudo tem retorno	(actions have consequences)	proverb
what if	e se [with imperfect subjunctive or future subjunctive], que tal [with personal infinitive]	(used to introduce suggestion)	adv
what is that	o que é isso?, o que é isto?	(what is that?)	phrase
what is your name	qual é o teu nome?, como te chamas?	(what is your name?)	phrase
what is your phone number	{what's your phone number?}		phrase
what languages do you speak	que/quais línguas você fala? [que/quais línguas você fala]	(what languages do you speak?)	phrase
what's new	quais as novas?, quais as novidades?	(informal greeting asking what has happened recently)	phrase
whatsoever	de forma alguma, de forma nenhuma, de modo algum, de maneira nenhuma, de jeito algum	(in any way)	adj
what's the matter	qual (é) o problema?	(what's wrong?)	phrase
what's up	e aí?, tudo em cima?	(informal, How are you?)	phrase
what's your job	qual é o seu trabalho?	(what's your job?)	phrase
