@rowCount	5744
w	d	n	t
meitnerium	[object Object]	(chemical element)	n
melancholic	[object Object]	(filled with or affected by melancholy)	adj
melancholy	[object Object]	(Sadness or depression)	n
Melanesia	[object Object]	(part of Oceania)	prop
melanin	[object Object]	(dark pigment)	n
melanoma	[object Object]	(type of skin tumor)	n
Melbourne	[object Object]	(city in Australia)	prop
melee	combate corpo-a-corpo [Brazil]	(Hand-to-hand combat. Mano-à-mano)	n
Melissa	[object Object]	(female given name)	prop
melodious	melodioso, melódico	(having a pleasant melody)	adj
melodrama	[object Object]	(romantic drama)	n
melody	[object Object]	(sequence of notes that makes up a musical phrase)	n
melon	[object Object]	(slang: breasts)	n
melongene	{eggplant}		n
melons	[object Object]	(slang: breasts)	n
Melpomene	[object Object]	(Muse of tragedy)	prop
melt	derreter, fundir	(intransitive: to change from a solid to a liquid)	v
meltdown	[object Object]	(situation being likened to a nuclear meltdown)	n
melting point	ponto de fusão	(temperature at which solid and liquid phases are in equilibrium)	n
member	[object Object]	(one who officially belongs to a group)	n
Member of Parliament	[object Object]	(representative)	n
member of parliament’s legislative motion	{private member's bill}		n
member's bill	{private member's bill}		n
membership	[object Object]	(fact of being a member)	n
membrane	[object Object]	(separating tissue)	n
membranous	membranoso	(having the qualities of, or pertaining to, a membrane)	adj
meme	[object Object]	(unit of cultural information)	n
memento	[object Object]	(a keepsake)	n
memoir	[object Object]	(book describing the personal experiences of an author)	n
memoirs	memoir	(autobiography)	n
memorable	memorável	(worthy of being remembered)	adj
memorandum	[object Object]	(written business communication)	n
memorial service	{funeral}		n
memorize	decorar, memorizar	(to commit to memory, to learn by heart)	v
memory	[object Object]	(stored record)	n
memory leak	[object Object]	(fault in memory allocation)	n
men	[object Object]	(human people)	n
menacingly	ameaçadoramente	(In a menacing manner)	adv
menarche	[object Object]	(first menstruation)	n
mend	consertar, reparar	(to repair)	v
mendacious	mentiroso	(lying, untruthful or dishonest)	adj
mendaciousness	{mendacity}		n
mendelevium	[object Object]	(chemical element)	n
mendicant	mendigo	(beggar)	n
meningitis	[object Object]	(inflammation of the meninges)	n
Menoetius	[object Object]	(one of Hades’ shepherds)	prop
menopause	[object Object]	(The ending of menstruation)	n
menorah	menorá	(seven-branch candelabrum)	n
menstrual	menstrual	(of or having to do with the menses)	adj
menstruate	menstruar	(to undergo menstruation)	v
menstruation	[object Object]	(periodic discharging of the menses)	n
mental	mental	(relating to the mind)	adj
mental breakdown	nervous breakdown	(an attack of depression)	n
mental hospital	[object Object]	(facility designed to treat persons with mental disorders)	n
mental institution	mental hospital	(psychiatric hospital)	n
mentality	[object Object]	(mindset)	n
mentally	mentalmente	(in a mental manner)	adv
mention	mencionar	(make a short reference to something)	v
mentor	[object Object]	(A wise and trusted counselor or teacher)	n
menu	cardápio, menu	(printed list of dishes offered in a restaurant)	n
meow	miar	(of a cat, to make its cry)	v
Mephistophelean	mefistofélico	(showing the cunning or ingenuity or wickedness typical of a devil)	adj
Mephistopheles	[object Object]	(Devil to whom Faust sold his soul)	prop
mercantile	[object Object]	(related to the exchange of goods for profit)	adj
mercenary	[object Object]	(person employed to fight)	n
merchandise	[object Object]	(commodities offered for sale)	n
merchant	[object Object]	(person who traffics in commodities)	n
merchant navy	[object Object]	(civilian naval fleet)	n
Mercia	[object Object]	(one of the Anglo-Saxon kingdoms of England)	prop
Mercian	mércio	(of, from or relating to Mercia)	adj
merciless	[object Object]	(showing no mercy; cruel and pitiless)	adj
mercuric	mercúrico	(containing mercury with an oxidation number of 2)	adj
mercury	[object Object]	(element)	n
Mercury	[object Object]	(Roman god)	prop
mercy	[object Object]	(tendency toward forgiveness)	n
mere	mero	(the smallest amount)	adj
merely	meramente, somente	(only, just, and nothing more)	adv
merge	unir	(to combine into a whole)	v
merger	[object Object]	(the legal union of two or more corporations)	n
mergirl	{mermaid}		n
meristem	meristema	(zone of active cell division)	n
merit	[object Object]	(Something worthy of a high rating)	n
meritocracy	meritocracia	(rule by merit)	n
Merkel	Merkel	(surname)	prop
merlin	[object Object]	(small falcon)	n
merlon	[object Object]	(any of the projections between the embrasures of a battlement)	n
mermaid	[object Object]	(mythological woman with a fish's tail)	n
merman	[object Object]		n
merogamy	{merogony}		n
Merovingian	merovíngio	(of or relating to the dynasty)	adj
merry	alegre	(jolly and full of high-spirits)	adj
merry Christmas	Feliz Natal	(good wishes at Christmas time)	phrase
Merry Christmas and a Happy New Year	Bom Natal e Feliz Ano Novo, Feliz Natal e próspero Ano Novo, Boas Festas	(traditional greeting for the Christmas and the new year)	phrase
merry-go-round	[object Object]	(carousel)	n
merrymaking	[object Object]	(joyful festivities)	n
mesangial	mesangial	(of or pertaining to the mesangium )	adj
mesh	[object Object]	(structure)	n
mesmerize	hipnotizar, mesmerizar	(to exercise mesmerism on)	v
mesne	{intermediate}		adj
meso-	meso-	(prefix meaning middle)	prefix
mesocarp	[object Object]	(middle layer)	n
mesoclisis	[object Object]	(insertion of a clitic inside a word)	n
mesoderm	[object Object]	(tissue produced by gastrulation)	n
Mesolithic	[object Object]	(Mesolithic period)	n
mesology	[object Object]	(branch of biology & environmental/sociological influence)	n
meson	[object Object]	(elementary particle)	n
mesophile	[object Object]	(organism that lives and thrives at moderate temperatures)	n
mesophilic	mesófilo	(thriving at moderate temperatures)	adj
Mesopotamia	[object Object]	(region between Euphrates and Tigris)	prop
meso-region	[object Object]	(administrative system)	n
mesoregion	{meso-region}		n
mesosphere	mesosfera	(layer of the Earth's atmosphere)	n
mesquite	[object Object]	(Prosopis)	n
mess	[object Object]	(Mass; church service)	n
message	[object Object]		n
messenger	[object Object]	(one who brings messages)	n
messiah	[object Object]	(ordained to lead the people of Israel)	n
Messiah	[object Object]	((Christianity) Jesus)	prop
messianic	messiânico	(of, relating to, or resembling a messiah, the Messiah)	adj
mess up	desarrumar	(make a physical mess of)	v
messy	desorganizado, bagunçado, caótico, desordenado	(in a disorderly state; causing mess or confusion; chaotic; disorderly)	adj
mestizo	caboclo		n
metabolic	metabólico	(of or pertaining to metabolism)	adj
metabolism	[object Object]	(complete set of chemical reactions that occur in living cells)	n
metacarpal	[object Object]	(bone of the metacarpus)	n
metacarpal bone	{metacarpal}		n
metacarpus	[object Object]	(five bones of the palm)	n
metal	[object Object]	(atomic element or material made of such atoms)	n
metallic	metálico	(made of metal)	adj
metallurgic	{metallurgical}		adj
metallurgical	[object Object]	(or or relating to metallurgy)	adj
metallurgically	metalúrgicamente	(in a metallurgical manner)	adv
metallurgy	[object Object]	(science of metals)	n
metamorphic rock	[object Object]	(one of the major groups of rock that makes up the crust of the Earth)	n
metamorphosis	[object Object]	(transformation)	n
metaphor	[object Object]	(uncountable: figure of speech)	n
metaphysical	[object Object]	(of or pertaining to metaphysics)	adj
metaphysician	[object Object]	(A philosopher who specializes in the scholarly study of metaphysics)	n
metaphysics	[object Object]	(branch of philosophy that studies first principles)	n
metastable	[object Object]	(long-lived unstable state)	adj
metastasis	metástase	(the transference of a bodily function or disease to another part of the body)	n
metastatic	[object Object]	(relating to metastasis)	adj
metatarsus	[object Object]	(bones)	n
metempsychosis	[object Object]	(Transmigration of the soul)	n
meteor	[object Object]	(streak of light)	n
meteorite	[object Object]	(remains of a meteor)	n
meteoroid	[object Object]	(small debris in a solar system)	n
meteorologic	{meteorological}		adj
meteorological	meteorológico	(relating to meteorology)	adj
meteorology	[object Object]	(science)	n
meter	measure	(to measure)	v
methamine	{hexamine}		n
methanal	{formaldehyde}		n
methane	[object Object]	(the compound CH[4])	n
methanol	[object Object]	(the simplest aliphatic alcohol, CH[3]OH)	n
methinks	me parece	(it seems to me)	contraction
methionine	[object Object]	(amino acid)	n
method	[object Object]	(process by which a task is completed)	n
methodical	[object Object]	(in an organized manner)	adj
Methodism	[object Object]	(Methodist Christian movement founded by John Wesley)	n
Methodist	[object Object]	(a member of the Methodist Church)	n
methodological	metodológico	(of, pertaining to, or using methodology)	adj
methodology	[object Object]	(the study of methods used in a field)	n
Methuselah	Matusalém	(Biblical character)	prop
methyl	[object Object]	(univalent hydrocarbon radical, CH[3])	n
methylene	metileno	(divalent radical)	n
methylpropane	{isobutane}		n
methylpropene	isobutene	(isobutylene)	n
meticulous	[object Object]	(characterized by very precise, conscientious attention to details)	adj
Metis	Métis	(satellite of Jupiter)	prop
metonymic	{metonym}		n
metonymy	{metonym}		n
me too	a mim também	(that applies to me as well)	phrase
metre	[object Object]	(unit of length)	n
metric	[object Object]	(notion in mathematics)	n
metric space	[object Object]	(space (mathematics))	n
metric system	{International System of Units}		n
metro	[object Object]	(underground railway)	n
metrology	[object Object]	(science of measurement)	n
metropole	metropolis	(city)	n
metropolis	archbishopric	(metropolitan archbishop)	n
metropolitan	metropolitano	(pertaining to a metropolis)	adj
metrosexual	[object Object]	(A man concerned with personal appearance)	n
mettle	{metal}		n
Meuse	[object Object]	(river)	prop
mew	{meow}		v
Mexican	[object Object]	(person from Mexico or of Mexican descent)	n
Mexican wave	[object Object]	(A phenomenon at sports events)	n
Mexico	[object Object]	(country)	prop
Mexico City	México, Cidade do México	(capital of Mexico)	prop
Miami	{Miami}		n
miasma	[object Object]	(noxious atmosphere or influence)	n
mica	[object Object]	(hydrous aluminosilicate minerals)	n
Micah	[object Object]	(Biblical character: minor prophet and author)	prop
micelle	[object Object]	(colloidal aggregate)	n
Michael	[object Object]	(male given name)	prop
Michelle	Michaela	(female given name)	prop
Michigan	[object Object]	(US state)	prop
Michigan holly	{American winterberry}		n
Mickey Mouse	[object Object]	(Disney character)	prop
micro-	micro-	(very small)	prefix
microaerophile	microaerófilo	(organism that thrives in low-oxygen environments)	n
microaerophilic	microaerófilo	(thriving in low-oxygen environments)	adj
microarray	micromatriz, microarranjo	(two-dimensional array of small quantities of biological material )	n
microbe	[object Object]	(microorganism)	n
microbial	microbial, micróbico, microbiano	(relating to microbes)	adj
microbiology	[object Object]	(branch of biology dealing with microorganisms)	n
microblogging	[object Object]	(activity of posting regular updates on a microblog)	n
microchip	[object Object]	(integrated circuit)	n
microcomputer	[object Object]	(computer designed around a microprocessor)	n
microcosm	[object Object]	(smaller system as representative of a larger one)	n
microcredit	{microloan}		n
microgram	[object Object]	(µg)	n
micrometer	[object Object]	(one-millionth of a meter, see also: micron)	n
micrometre	{micrometer}		n
Micronesia	Micronésia	(country)	prop
microorganism	[object Object]	(an organism too small to be seen by unaided eye )	n
micropaleontology	[object Object]	(the study of microfossils)	n
microphone	[object Object]	(transducer of sound waves to electricity)	n
microprocessor	[object Object]	(the entire CPU of a computer)	n
micro-region	[object Object]	(administrative system)	n
microregion	{micro-region}		n
microscope	[object Object]	(an optical instrument)	n
microscopic	microscópico	(very small)	adj
microsecond	[object Object]	(unit of time equal to 10^−6 seconds)	n
Microsoft	[object Object]	(Transliterations and translations)	n
microtubule	microtúbulo	( microscopic tubes in cells )	n
microwave	[object Object]	(wave)	n
microwave oven	[object Object]	(oven using microwave energy)	n
microzyma	[object Object]	(Any pleomorphic organism)	n
micturate	{urinate}		v
Midas	[object Object]	(Greek mythology)	prop
Midas touch	[object Object]	(ability to gain success from one’s actions)	prop
midbrain	mesencéfalo	(part of brain)	n
midday	noon	(12 o'clock during the day)	n
midden	[object Object]	(archeology: prehistoric pile of bones and shells)	n
middle	[object Object]	(part between beginning and end)	n
Middle Ages	[object Object]	(historical period)	prop
