@rowCount	12099
Gvatemalio	Guatemala
Gvatemalo	Guatemala
Gvatemalo-urbo	Guatemala City
Gvatemalurbo	Guatemala City; Ciudad de Guatemala
gvati	to be on the watch, on the lookout, keep an eye on, spy on
gvatisto	lookout, watcher
gvato	watch, lookout
gvatsekvi	to tail, shadow
gvatturo	watch-tower
Gvedburgo	Jedburgh
Gvemstauxno	Jamestown
Gveneralaj SXtatoj	States General
Gveneva Lago	Lake of Geneva
Gvenevo	Geneva
Gvenova Golfo	Gulf of Genoa
Gvenovo	Genoa
Gveponto	Bridge of Dee
gverilo	guerrilla war
Gvibraltara Markolo	Strait of Gibraltar
Gvibraltaro	Gibraltar
Gvibutio	Djibouti
gvida	leading
gvida ideo	leitmotif, leitmotiv
gvidado	guiding, leadership, direction
gvidantaro	leadership
gvidanteco	leadership
gvidanto	leader
gvidfolio	cheatsheet, cheat sheet, guide sheet
gvidi	to conduct, direct, drive, guide, lead, show the way
gvidilo	guidebook
gvidisto	guide
gvidkantado	cue song
gvidlibro	handbook, guide, guidebook
gvidlinio	guideline
gvidmarki	to beacon
gvidmarkilo	beacon
gvidmezurilo	ruler guide
gvidmotivo	leitmotiv, leitmotif
gvidnormo	guideline
gvido	guide, pilot
gvidstelo	lodestar
gvidvocxo	guiding voice
gvinea	Guinea
gvineano	Guinean
gvineanoj	Guineans
gvinebisauxano	Bissau-Guinean
gvinebisauxanoj	Bissau-Guineans
Gvineo	Guinea
Gvineo-Bisauxo	Guinea-Bissau
Gvungario	Dzungaria
gxainismo	Jainism
gxaino	Jain, Jaina
gxajnismo	Jainism
gxajno	Jaina
GXakarto	Djakarta, Jakarta
gxangalo	jungle, rain forest
gxardena	(having to do with a) garden, gardening
gxardena kosmoso	garden cosmos, Mexican aster
gxardenbrasiko	cabbage
gxardenestro	head gardener
gxardeneto	little garden
gxardenilaro	garden equipment, garden tools
gxardenisto	gardener, groundskeeper, landscaper
gxardenkoboldo	garden gnome
gxardenkulturo	horticulture
gxardenlaborado	gardening
gxardeno	garden
gxardenumado	gardening
GXardenurbo	Garden City
gxartero	garter belt
GXavo	Java
gxazbando	jazz band, jazz ensemble
gxazo	jazz
gxelateno	jelly
gxelo	gel
gxemadi	to moan, groan
gxemado	groaning, moaning
gxeme	while groaning
gxemegi	to wail
gxemela	twin
gxemelduo	twins
gxemelmetodo	buddy system
gxemelo	twin; Gemini
GXemeloj	Gemini
gxemeloj	twins
GXemelturoj	Twin Towers (New York’s former World Trade Center)
gxemelurbo	twin city, sister city
gxemelurboj	sister cities, twin cities, friendship cities
gxemi	to groan, moan
gxemo	groan, moan; gem
gxena	inconvenient, nasty, troublesome, troubling
gxenadi	to harass
gxenado	harassment, hassling
gxenajxo	inconvenience, trouble
gxenata	bothered
gxenateco	bother
gxendarmo	constable, gendarme, patrolman
gxene	inconveniently, troublingly
gxeneco	bashfulness
gxenega	burdensome
gxenerala	general, usual, rife, prevalent, widespread
GXenerala Publika GNU-Permesilo	GNU General Public License
gxenerala termo	general term
GXeneralaj SXtatoj	States General
gxeneralaj sxtatoj	States General
gxeneralajxo	generality
gxeneralcela komputilo	general purpose computer
gxenerale	generally, in general
gxenerale akceptita	accepted
gxeneraleco	generality, universality
gxeneraligi	to generalize
gxeneraligita funkcio	distribution, generalized function
gxeneraligo	generalization
gxeneva Lago	Lake of Geneva
GXenevo	Geneva
GXengis	Gengis
gxeni	to bother, disturb, hinder, trouble, make uncomfortable
gxeni sin	to go to the bother of, go to the trouble of
gxeno	nuisance, inconvenience, trouble
GXenova Golfo	Gulf of Genoa
gxenova Golfo	Gulf of Genoa
GXenovo	Genoa
gxenro	genre
gxentila	polite, gentle, civil, courteous, well-mannered, polished, refined
gxentilaj manieroj	good manners
gxentilajxo	courtesy
gxentile	gently, politely
gxentileco	civility, courtesy, politeness
gxentilhomeca	gentlemanlike, ladylike
gxentilhomo	gentleman
gxentilhomoj	gentlemen
gxentlemaneca	gentlemanlike
gxentlemanineca	ladylike
gxentlemanino	lady
gxentlemaninoj	ladies
gxentlemano	gentleman
gxenulo	pain in the ass, pest, nuisance
GXeraldo	Gerald
gxerboso	jerboa
gxermana	Germanic, Teutonic
gxermanaj lingvoj	Germanic languages
GXermanio	Germania
gxermanismo	Germanism
gxermanistiko	Germanistic, German Studies
gxermanisto	Germanist, student of German Studies
gxermano	German, Teuton
GXermanujo	Germania
gxermeto	gamete
gxermi	to germinate, shoot, bud
gxermo	germ
gxermoi	to germinate
gxeto	jetty, protecting mole, pier
gxi	it
gxi estas por mi volapukajxo	it’s all Greek to me
gxia	its
gxia la nuna tempo	until the present time, up until now
gxia la suprajxo	to the top, to the peak
gxiaflanke	on its side
gxiasone	at its sound
gxiavoje	on its way
gxiba	gibbous, hunch-backed
gxibajxo	hump, bump
gxibeto	bump
gxibhava	hunch-backed
gxibigi	to arch, stoop, hunch one's back
gxibo	bump, hump
gxibobovo	zebù
gxibraltara	Gibraltarian
gxibraltaranino	Gibraltarian (fem.)
gxibraltaraninoj	Gibraltarians (fem.)
gxibraltarano	Gibraltarian
gxibraltaranoj	Gibraltarians
GXibraltaro	Gibraltar
gxibraltaro	Gibraltar
gxibulo	humpback, hunchback
gxibutianino	Djiboutian (fem.)
gxibutianinoj	Djiboutians (fem.)
gxibutiano	Djiboutian
gxibutianoj	Djiboutians
GXibutio	Djibouti
gxigo	jig
gxigolo	gigolo
gxihado	jihad
gximkano	gimkana, gincana
gxinfizo	Gin Fizz
GXingiso	Genghis
GXingxis	Genghis
gxinismo	Jainism
gxino	gin (drink)
gxinzo	jeans
gxirafedoj	Giraffidae
gxirafido	baby giraffe
GXirafo	Camelopardalis (constellation); giraffe
gxirafo	giraffe
gxiraforeloj	rabbit ears; giraffe ears
gxiranto	endorser
gxirato	endorsee, holder (in due course)
gxirebla	endorsable
gxiri	to endorse, transfer
gxirilo	commercial paper, negotiable instrument
gxiriloj	money transfer forms
gxirindikilo	blinker
gxiro	endorsement
gxis	till, until, up to, as far as
gxis antauxnelonge	until recently
gxis kia grado	to what extent
gxis la	so long, (see you) later, bye
gxis la nuna tempo	until now
gxis la revido	goodbye, so long
gxis la sunlevigxo	until sunrise
gxis malfrua nokto	until late at night
gxis malfrue en la nokto	until late at night
gxis nun	up to now, yet
gxis profunda nokto	until late at night
gxis revido	bye, goodbye, so long
gxis tia grado ke	to such an extent that
gxis-streko	en dash, n dash
GXis!	So long! Goodbye!
gxisatendi	to bide, abide, stay for, await, wait (for)
gxisbaza komplemento	radix complement
gxisdata	up-to-date
gxisdata muziko	modern music
gxisdatiga	updating, update, updated, service (pack)
gxisdatigeto	little update, service update
gxisdatigi	to update
gxisdatigo	update
gxisdatigo de dosiero	file updating
gxisdektage	up to ten days
gxisfine	until then end
gxisfunda	thorough
gxisfunde	thoroughly
gxisgenua	to the knees, knee-length
gxisgenue	up to one’s knees, knee-deep
gxisi	to say goodbye
gxisiri	to arrive at
gxiskole	up to one’s neck
gxiskore	right to the heart, thoroughly
gxislimi	to extend to
gxismentone	up to one’s chin
gxismorte	until death
gxisnauxze	ad nauseum
gxisnombrado	countdown
gxisnuna	present
gxisnune	until now, until this day
gxiso	goodbye, farewell
gxisosta	diehard, dyed-in-the-wool, to the bone, dedicated, committed, hard-core
gxisoste	to the bone
gxisoste malseka	completely soaked
gxisostulo	die-hard
gxispinte	to the top of
gxisrandigi	align
gxisrandigo	alignment
gxisrandigo dekstren	right alignment, right justify
gxisrandigxi	to brim
gxisrevidi	to say goodbye
gxissate	until full, until satisfied
gxistalia	waist-high
gxistalie	up to one’s waist, waist-deep
gxistiam	until that time
gxistiama	hitherto, until then, until that time
gxistombe	to the grave
gxisvivi	to go through, live to see
gxiugxico	jiu-jitsu
gxo	name of the letter GX
GXocxia apanagxo	Jöchi ulus, Juchi ulus
GXocxio	Jöchi, Juchi
gxogi	to jog
gxoja	happy, glad, joyful, joyous
gxojado	jubilation, rejoicing
gxoje	joyfully, happily
gxojeco	gladness, joy
gxojega	jovial, jubilant
gxojege	very joyfully
gxojegi	to exult
gxojego	exultation
gxojfajro	bonfire
gxojfrapo	burst of joy
gxoji	to be glad, enjoy, rejoice
gxojiga	joyful
gxojiga pilolo	happy pill
gxojige	joyfully
gxojigi	to gladden, make glad, make joyful
gxojigxi	to become happy, become joyful
gxojkauxzo	reason for joy, cause of joy
gxojkriegi	to shout with joy
gxojkrii	to shout with joy
gxojkrio	shout of joy
gxojo	gladness, joy, glee
gxojplena	full of joy
gxojvenki	to overcome with joy
GXon	John
gxonko	junk
gxuadi	to continually enjoy
gxuado	enjoyment
gxuamo	hedonism, wanton pleasure
gxuegi	to relish
gxuego	delight, relish
gxui	to delight in, enjoy, relish
gxuinda	worth enjoying, enjoyable
gxuinde	enjoyably
gxungario	Dzungaria
gxuo	delight, joy
gxuo por la okuloj	eye candy
gxuplena	blissful, blessed
gxusta	correct, exact, proper, right
gxustakvante	in the right amount(s)
gxustateme	on the right topic
gxustatempa	opportune, seasonable, timely, punctual
gxustatempe	in (the nick of) time, just in time, timely, at the right moment, at the right time
gxustatempeco	timeliness
gxuste	correctly, just, exactly, okay, right, precisely
gxuste li	to exactly he, he of all people
gxusteco	accuracy, exactitude, exactness, rightness
gxusti	to be right, be correct, be proper
gxustiga	corrective
gxustigi	to adjust, put right, correct, make adjustments
gxustigilo	balance wheel
gxustigo	amendment, correction
gxustigxi	to adjust
gxustokaze	in that case
H-bombo	H-bomb
Ha lo?	Hello? (telephone)
habitato	habitat
hacxi	to hatch, shade
Hadeso	Hades
hadiso	hadith
hadito	Hadith
hadrono	hadron
hafnio	hafnium
haga	Hague, of The Hague
hagano	inhabitant of The Hague
hagiografio	hagiography
Hago	The Hague
hagxo	hajj
hagxulo	hajji
haitano	Haitian
haitia	Haitian
haitiano	Haitian
Haitio	Haiti
Haito	Haiti
hajko	haiku
hajlajfo	highlife
hajlas	it hails
hajlero	hailstone
hajleto	hail(stone)
hajli	to hail
hajlnegxo	hail(stone)
hajlo	hail
hajpo	hype
hakado	hacking, chopping
hakbloko	chopping-block
hakbovajxo	ground beef
haketa	hash, hashed
haketado	hashing
haketfunkcio	hash function
haketi	to chop, dice, mince
haketilo	hatchet
haketo	hash (mark), #
hakettabelo	hash table
hakglavo	saber
haki	to chop, cut, hack, hew
hakileto	hatchet
hakilo	axe, chopper, hatchet
hako	chop, hack
haksxtipego	chopping-block
haktabulo	cutting board, chopping block
hakviando	hamburger meat
haladza	fetid, fumy, gassy, reeking, stinking
haladzi	to fume, reek, stink
haladzo	bad smell, fume(s), stink, stench
halala	halal
halangxo	baloney, garbage, rubbish, shit
halebardo	halberd
haleluja	alleluia, hallelujah
halelujo	alleluia
halfo	halfback
haliaeto	sea eagle
haliotiso	abalone, ear shell, haliotis
halioto	abalone, ormer
halo	hall (great room)
halogena lampo	halogen lamp
halogenido	haloid
halogenlampo	halogen lamp
halogeno	halogen
haloo	halo
Haloveno	Halloween
Halovino	Halloween
halso	tack
haltadi	to halt, remain halted
haltejo	halting-place, stop
halterego	barbell
haltereto	dumb-bell
haltero	dumbbell
halteta	sleep (mode)
halteti	to sleep, suspend
halti	to halt, come to a halt, stop
halti en	to call at
haltigajxo	obstacle, obstruction
haltigi	to (bring to a) halt, make stop, check, restrain, curb, repress
haltigilo	brake, stopping device
haltigisto	brakesman
haltigo	arrest, obstacle, obstruction, stop, stoppage
haltigsxuo	brake-block, brake-shoe, drag, skid
halto	stop
haltoloko	breakpoint
haltopunkto	breakpoint
haltostreko	break, dash
haltproblemo	halting problem
haltstreko	break
haltu	stop
halucina	hallucinatory
halucinacio	hallucination
halucinato	hallucinator, someone suffering from hallucinations
halucini	to hallucinate
halucinigxi	to hallucinate
halucino	hallucination
halucinulo	hallucinator, someone suffering from hallucinations
halukso	big toe
hamako	hammock
hamamelido	witch-hazel
hamamelo	hamamelis, witch-hazel
hamburgano	Hamburger, resident of Hamburg
hamburgero	hamburger
Hamburgo	Hamburg
hamburgro	hamburger
Hamiltona problemo	Hamilton's problem
hamiltona problemo	Hamilton’s problem
Hamiltono	Hamilton
Hamleto	Hamlet
hamondorgeno	hammond organ
hamstri	to hoard
hamstro	hamster
Hanafismo	Hanafi (law)
handbalisto	handballer, handball player
handbalo	handball
handikapajxo	handicap
handikapi	to handicap
handikapito	disabled person
handikapo	handicap
handikapula	handicapped
handikapulo	disabled person, handicapped person
hangaro	hangar
Hanibalo	Hannibal
hanlingvo	Mandarin
hannacio	Han (principle ethnic group of China)
hanoja	Hanoi, of Hanoi
Hanojaj turoj	towers of Hanoi
hanojano	Hanoian, from Hanoi
hanojanoj	Hanoians, from Hanoi
Hanojo	Hanoi
Hanovro	Hanover
hansa	Hanseatic
Hanso	Hanse, Hanseatic League
hanti	to haunt
haoro	haori
hapakso	hapax legomenon
hapalo	marmoset
hapsburga	Hapsburg
Har-Magedon	Armageddon
harajxa	hairy
harakiri	to commit hara-kiri
harakiro	hara-kiri
hararangxo	hair style, hairdo
Harareo	Harare
hararo	coat (animal), hair (head of)
hararsekigilo	dryer
hararzono	hair ribbon, fillet
harbendo	sweatband
harbroso	hairbrush
harbulo	hairball
harda	hardy, sturdy
hardado	hardening, seasoning
harde	hardily, sturdily
hardi	to harden, season, steel, temper, toughen
hardigenzo	hardening agent
hardigxi	to harden (to become hardy)
hardita	hardy
harditeco	hardness, toughness
hardluti	to braze, hard-solder
hardvaro	hardware
harego	bristle
haremo	harem
harfasko	ponytail
harfendado	hair-splitting
harfendajxoj	hair-splitting
harfendemulo	hair-splitter, nit-picker
harhava	hairy
haringo	herring
Hariso	Harris
harkovrita	hairy, hirsute
Harlemo	Harlem
harleto	ringlet
harligajxo	chignon
harligo	plait, tress (hair)
harmona	harmonic (function)
harmona meznombro	harmonic average, harmonic mean
harmona progresio	harmonic progression, harmonic sequence
harmona serio	harmonic series
harmona vico	harmonic progression, harmonic sequence
harmonia	harmonious
harmonie	harmoniously
harmonii	to accord, fit together, harmonize
harmonii kun	to accord with
harmoniigi	to harmonize
harmoniigilo	harmonizer
harmoniigo	harmonization
harmoniko	accordion, harmonica, harp, harmonics
harmonio	harmony
harmonioj	harmonies
harmoniumo	harmonium
harmono	harmonic
harneso	loom
harniso	harness
harnodo	bun
haro	(single) hair
haroj	(head of) hair
Haroldo	Harold
harperdo	alopecia, baldness, loss of hair
harpi	to play the harp
harpio	harpy (eagle)
harpioj	harpies (Greek mythology)
harpisto	harpist
harplektajxo	braid
harplena	shaggy
harpo	harp
harpuni	to harpoon
harpuno	harpoon
harsapo	shampoo
harsekigilo	hair dryer, blow dryer
harsplitado	hair-splitting
harstariga	eerie, grisly, gruesome, macabre
hartondisto	barber
hartubero	bun
hartufo	forelock, lock (of hair), tuft (hair)
hasio	hassium
haspelo	reel
hasta	hurried
haste	hastily, hurriedly, in a hurry
hastema	hasty, impatient
hasti	to hurry
hasto	haste
hasxio	chopstick
hasxisxo	hashish, marijuana
hati	to hate
hauxbizo	howitzer
hauxli	to drag, haul, tow
hauxsa	Hausa
hauxsieroj	bulls (financial markets)
hauxso	boom
hauxta	cutaneous
hauxtbrulumo	dermatitis
hauxtero	scurf, dandruff
hauxtinflamo	dermatitis
hauxtkoloro	skin color
hauxtmakulo	blemish
hauxto	hide, skin
hauxtodifina	skin definition
hauxtveziketo	blister
havaja	Hawaiian
havaja gitaro	lap slide guitar, lap steel guitar, Hawaiian guitar
havajano	Hawaiian
Havajo	Hawaii
havajxo	asset, possession, property
havajxoj	properties
Havano	Havana
havebla	available
havebleco	availability
havema	acquisitive
havenda	essential, indispensable, integral, irreplaceable
havendajxo	requisite
havenimposto	anchorage, harbor dues, port charges, port dues
havenisto	docker, dockworker, longshoreman
havenkvartalo	water-front
haveno	harbor, port, haven, seaport
havenurbo	harbor town, port (city), seaport
havi	to have, own
havi aferon	to have to do (with)
havi aferon kun	to have an affair with
havi aliron al	to have access to
havi dejxoron	to be on duty
havi diareon	to have diarrhea
havi farendajxojn	to have errands, have things to do
havi febron	to have a fever
havi forton por fari ion	to have the strength to do something
havi intereson pri	to be interested in, have an interest in
havi konfidon	to have confidence
havi koro el sxtono	to have a heart of stone
havi liberan elekton	to have (a) free choice
havi lokon	to take place
havi malbonsxancon	to have bad luck
havi miksitajn sentojn pri	to have mixed feelings about
havi nenion komunan kun	to have nothing in common with
havi permeson	to be allowed to, may
havi plurajn kromajn uzojn	to have many other uses
havi sin gardon	to take care, look out
havi sperton en	to have experience with
havi suficxon	to have enough (of something)
havi sxtonon por koro	to have a heart of stone
havi tri mangxojn cxiutage	to eat three meals a day
haviganto de dosieroj	filesharer
havigebla	available
havigi	to get, procure
havigi al si	to buy, get, procure
havigita	shared
havigo	delivery
Haviko	Hawick
havinda	worth having
havo	possession
Havro	Havre
hazarda	accidental, adventitious, chance, random, rash, hazardous
hazarda ludo	game of chance
hazarda variablo	random variable, variate
hazardajxo	accident
hazarde	by accident, by chance, at random
hazardeco	rashness
hazardi	to hazard, venture, risk, gamble
hazardigi	randomize
hazardigo	randomization
hazardluda turbo	put-and-take top, teetotum
hazardludo	game of chance, gambling
hazardnombra generatoro	random number generator
hazardo	accidence, chance, hazard
he	eh, hey, say
hebraj literoj	Hebrew letters
hebrea	Hebrew, Jewish
hebrea biblio	Hebrew Bible
Hebrea Biblio	Tanakh, Hebrew Bible, Hebrew Scriptures, Jewish Bible
hebrea lingvo	Hebrew, Hebrew language
Hebreino	jewess
Hebreismo	Hebraism
hebrelingva	Hebrew
Hebreo	Hebrew
Hebreoj	Hebrews
Hebridoj	Hebrides, Western Islands
hedero	ivy
